species,lifestage,url,shp_comp
snowygrouper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/snowygrouper_2025/FeatureServer/6,spatial_data
spanishmackerel,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/0,spatial_data
spanishmackerel,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/1,spatial_data
spanishmackerel,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/2,spatial_data
spanishmackerel,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/3,spatial_data
spanishmackerel,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/4,spatial_data
spanishmackerel,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/5,spatial_data
spanishmackerel,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/spanishmackerel_2025/FeatureServer/6,spatial_data
speckledhind,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/speckledhind_2025/FeatureServer/0,spatial_data
speckledhind,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/speckledhind_2025/FeatureServer/1,spatial_data
speckledhind,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/speckledhind_2025/FeatureServer/2,spatial_data
speckledhind,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/speckledhind_2025/FeatureServer/3,spatial_data
speckledhind,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/speckledhind_2025/FeatureServer/4,spatial_data
